3053;Ecseg
3060;Pásztó
3061;Pásztó
3062;Pásztó
3063;Jobbágyi
3064;Szurdokpüspöki
3065;Szurdokpüspöki
3066;Kutasó
3066;Bokor
3066;Cserhátszentiván
3067;Felsõtold
3067;Garáb
3068;Mátraszõlõs
3069;Alsótold
3070;Bátonyterenye
3071;Bátonyterenye
3072;Bátonyterenye
3073;Tar
3074;Sámsonháza
3075;Márkháza
3075;Kisbárkány
3075;Nagybárkány
3077;Mátraverebély
3078;Mátraverebély
3082;Mátraverebély
3100;Salgótarján
3101;Salgótarján
3102;Salgótarján
3103;Salgótarján
3104;Salgótarján
3107;Salgótarján
3109;Salgótarján
3110;Salgótarján
3121;Salgótarján
3123;Cered
3124;Zabar
3125;Szilaspogony
3126;Bárna
3127;Kazár
3128;Vizslás
3129;Lucfalva
3131;Sóshartyán
3132;Nógrádmegyer
3133;Magyargéc
3134;Piliny
3135;Szécsényfelfalu
3136;Etes
3137;Karancsberény
3138;Ipolytarnóc
3141;Ipolytarnóc
3142;Mátraszele
3143;Mátranovák
3144;Mátranovák
3145;Mátraterenye
3146;Mátraterenye
3147;Mátraterenye
3151;Rákóczibánya
3152;Nemti
3153;Dorogháza
3154;Szuha
3155;Mátramindszent
3161;Kishartyán
3162;Ságújfalu
3163;Karancsság
3163;Szalmatercs
3165;Endrefalva
3170;Szécsény
3175;Nagylóc
3176;Hollókõ
3177;Rimóc
3178;Varsány
3179;Nógrádsipek
3181;Karancsalja
3182;Karancslapujtõ
3183;Karancskeszi
3184;Mihálygerge
3185;Egyházasgerge
3186;Litke
3187;Nógrádszakál
3188;Ludányhalászi
3200;Gyöngyös
3201;Gyöngyös
3202;Gyöngyös
3211;Gyöngyösoroszi
3212;Gyöngyöshalász
3213;Atkár
3214;Nagyréde
3221;Nagyréde
3231;Gyöngyössolymos
3232;Gyöngyössolymos
3233;Gyöngyössolymos
3234;Gyöngyössolymos
3235;Mátraszentimre
3240;Parád
3242;Parádsasvár
3243;Bodony
3244;Bodony
3245;Recsk
3246;Mátraderecske
3247;Mátraballa
3248;Ivád
3250;Pétervására
3252;Erdõkövesd
3253;Istenmezeje
3254;Váraszó
3255;Fedémes
3256;Kisfüzes
3257;Bükkszenterzsébet
3258;Tarnalelesz
3259;Szentdomonkos
3261;Abasár
3262;Markaz
3263;Domoszló
3264;Kisnána
3265;Vécs
3271;Visonta
3272;Visonta
3273;Halmajugra
3274;Ludas
3275;Detk
3281;Karácsond
3282;Nagyfüged
3283;Tarnazsadány
3284;Tarnaméra
3291;Vámosgyörk
3292;Adács
3293;Visznek
3294;Tarnaörs
3295;Erk
3296;Zaránk
3300;Eger
3301;Eger
3302;Eger
3303;Eger
3304;Eger
3305;Eger
3321;Egerbakta
3322;Hevesaranyos
3323;Szarvaskõ
3324;Felsõtárkány
3325;Noszvaj
3326;Ostoros
3327;Novaj
3328;Egerszólát
3331;Tarnaszentmária
3332;Sirok
3333;Terpes
3334;Szajla
3335;Bükkszék
3336;Bátor
3337;Egerbocs
3341;Szúcs
3341;Egercsehi
3343;Bekölce
3344;Mikófalva
3345;Mónosbél
3346;Bélapátfalva
3346;Bükkszentmárton
3347;Balaton
3348;Szilvásvárad
3349;Nagyvisnyó
3350;Kál
3351;Verpelét
3352;Feldebrõ
3353;Aldebrõ
3354;Tófalu
3355;Kápolna
3356;Kompolt
3357;Nagyút
3358;Erdõtelek
